"colmaxidx","colmaxval"
3417,3.64617946356567
4799,2.63116924180885
1483,2.67457171909789
5202,2.09175873732849
5778,2.59977590092319
5983,2.11191241654171
7022,2.30109883203944
5604,2.7822439570775
2939,2.47419956387263
1445,2.1392862462562
2222,2.26940475420591
6622,2.09958662832304
1187,2.74092887730574
1976,2.44597551269681
4273,24.1713318709727
6851,4.51920102232012
6952,2.05261963597482
7235,2.8306844129591
1410,2.33819758129411
5778,2.43837902707437
4158,1.89941584441199
2976,1.80756920602063
5816,2.55759163244552
2591,3.77903783920465
4373,2.93366020196668
3120,2.17771175279835
3070,3.54386118690327
5820,2.80062967722894
3264,1.98702619242599
3792,2.1824759095773
4447,2.70436940122178
994,3.0351547086168
5807,2.55645182519286
3048,2.35182802556341
3444,3.14634922917224
4322,2.51024379584516
4644,2.60308400255319
3111,1.88381640972789
4808,2.17727081839536
468,2.42463856212755
5322,2.54763020404586
7319,2.18481067163127
5360,2.46673551222732
1174,1.6270246844504
1134,2.09074547925121
2464,1.56712253954569
5436,2.61663225159844
2972,2.59953981682128
5982,1.76513532348976
137,2.94118772474614
2939,2.14327350424266
4566,3.19604079251943
2022,2.84584690909711
2942,2.59622435557807
5619,12.3016520674143
2654,2.75320097598158
3765,2.85372379755666
874,2.51835759397263
6616,2.61495959588111
5894,3.45851125827235
6713,2.40349984457194
108,2.42045158085324
6690,2.95386028377851
3410,2.28051059061928
5617,4.87458178003818
3115,2.17889396099928
5226,2.02998301602154
3666,2.65390047587022
5056,2.33473379936366
6628,1.62510848729546
7065,2.61053770755441
2273,1.70361288471047
1384,3.39873801002638
6448,2.15759383328311
5757,1.94426450680362
3925,2.53846074568947
21,2.64689634269013
3775,1.77897845481654
3553,1.77930790264326
3111,2.07545734486597
2504,2.0077956258368
4675,2.10345569543208
4343,2.7305306631726
6045,3.5717844879946
1885,2.43248728396511
2938,2.50813663291339
770,2.57360759500769
4333,1.4688570418545
3410,1.89458754758987
341,2.46087748558273
1675,2.39391463176899
750,2.18399605988639
6340,8.96614537897436
5787,2.49833573408199
4893,1.56761556529975
620,2.45274529977423
3093,2.94398760712094
6220,2.16142275042314
6458,2.41866820117669
1221,3.0285562500478
1425,2.98475615582839
